Nom;Groupe;Groupe2;Type;Hymenophore1;Hymenophore2;Chair.Type;Chapeau.Diametre;Chapeau.Forme;Chapeau.Surface;Chapeau.Couleur;Chapeau.Marge;Lames.Attache;Lames.Espace;Lames.Couleur;Spore.Couleur;Pied.Hauteur;Pied.Largeur;Pied.Forme;Pied.Surface;Pied.Couleur;Chair.Couleur;Odeur;VG.Type;VG.Type2;VP.Type;VP.Type2;Habitat;Mois
Bulgaria inquinans;Leotiomyceta;Discomycetes;mediocre;lisse;supere;molle;5;hemispherique, [etale];furfurace;noir;-;-;-;concolore;noir;0;0;nul;-;-;ocre, brun;inodore;absent;-;absent;-;ecorce de chene;9-4
Morchella spp.;Pezizales;Discomycetes;comestible cuit;lisse;supere;cassante sans lait;5;complexe, conique;alveoles;brun;-;-;-;brun;blanc, creme;7;2;courbe;furfurace;blanc, [ocre];blanc, gris;inodore;absent;-;absent;-;foret, frene;3-5
Helvella crispa;Pezizales;Discomycetes;toxique;lisse;supere;cassante sans lait;5;selle, bilobe, (trilobe);lisse;blanc;-;-;-;concolore;blanc, creme;12;3;cylindrace;sillonne;blanc;blanc;inodore;absent;-;absent;-;foret, feuillu, sentiers;7-11
Helvella lacunosa;Pezizales;Discomycetes;toxique;lisse;supere;cassante sans lait;3;cerveau;glabre, lisse;gris, noir;-;-;-;concolore;creme;10;2,5;cylindrace;sillonne;gris, noir;gris;inodore;absent;-;absent;-;terre, foret;7-10
Helvella elastica;Pezizales;Discomycetes;toxique;lisse;supere;cassante sans lait;4;selle, [lobe];glabre, lisse;creme, (ocre), (gris);-;-;-;concolore;blanc;12;1,5;elance, cylindrace;lisse;blanc, creme;blanc;inodore;absent;-;absent;-;foret, sentiers;7-11
Helvella macropus;Pezizales;Discomycetes;toxique;lisse;supere;cassante sans lait;3;coupe;pubescent;gris;-;-;-;concolore;blanc;7;1;cylindrace;feutre;gris;blanc;inodore;absent;-;absent;-;foret;7-10
Peziza spp.;Pezizales;Discomycetes;mediocre;lisse;supere;cassante sans lait;10;coupe, etale;furfurace;brun, ocre, violet;lisse, denticule, furfurace;-;-;marron, ocre;blanc;0;0;nul;-;-;jaune, blanc;inodore;absent;-;absent;-;terre, foret;3-11
Otidea onotica;Pezizales;Discomycetes;mediocre;lisse;supere;cassante sans lait;3;fendu, enroule;lisse;jaune, orange;enroule;-;-;concolore;blanc;0;0;nul;-;-;blanc, jaune;inodore;absent;-;absent;-;terre, humus, chene;9-11
Otidea alutacea;Pezizales;Discomycetes;mediocre;lisse;supere;cassante sans lait;3;fendu, enroule;lisse;gris, brun;enroule;-;-;concolore;blanc;0;0;nul;-;-;jaune;inodore;absent;-;absent;-;terre, humus, chene;9-11
Aleuria aurantia;Pezizales;Discomycetes;bon;lisse;supere;cassante sans lait;10;coupe;glabre, lisse;orange;fin, flexueux, fissure;-;-;concolore;blanc;0;0;nul;-;-;jaune, orange;inodore;absent;-;absent;-;terre, orniere, talus, lisiere;1-12
Scutellinia crinita;Pezizales;Discomycetes;mediocre;lisse;supere;cassante sans lait;1;disque;poilu;brun;poilu;-;-;rouge, orange, jaune;blanc;0;0;nul;-;-;rouge;inodore;absent;-;absent;-;terre, debris;6-12
Auricularia Auricula-judae;Auriculariales;Phragmobasidiomycetes;bon;lisse;infere;molle;2-12;coupe, [oreille];villeux, furfurace;brun, rouge;flexueux;-;-;concolore;blanc;0;0;nul;-;-;brun, translucide;inodore;absent;-;absent;-;sureau, (saule), (erable);1-12
Auricularia mesenterica;Auriculariales;Phragmobasidiomycetes;mediocre;lisse;infere;molle;1-3;resupine, petits chapeaux;strigueux, herisse;blanc, gris, brun;flexueux;-;-;concolore;blanc;0;0;nul;-;-;brun;inodore;absent;-;absent;-;feuillu;3-6
Tremella mesenterica;Tremellales;Phragmobasidiomycetes;mediocre;lisse;supere;molle;1-5;cerveau;lisse;jaune, orange;lobe;-;-;concolore;blanc;0;0;nul;-;-;jaune, translucide;inodore;absent;-;absent;-;bois de feuillu;1-12
Exidia truncata;Tremellales;Phragmobasidiomycetes;mediocre;lisse;infere;molle;5;hemispherique, [etale];furfurace;noir;lobe;-;-;concolore;noir;0;0;nul;-;-;noir;inodore;absent;-;absent;-;ecorce de chene;9-4
Calocera viscosa;Dacrymycetales;Phragmobasidiomycetes;mediocre;lisse;amphigene;molle;2-10;ramifie;lisse;jaune, orange;-;-;-;concolore;jaune, ocre;0,5-2;0,2-0,4;radicant;lisse;concolore;jaune;inodore;absent;-;absent;-;bois pourri de conifere;1-12
Phlebia tremellosa;Polyporales;Aphyllophoromycetes;mediocre;lisse;infere;molle;5;resupine, circulaire;veloute, strigueux;blanc, beige, gris;onduleux, flexueux;-;-;orange, ocre, rose;blanc;0;0;nul;-;-;blanc, jaune;inodore;absent;-;absent;-;bois pourri;1-12
Stereum hirsutum;Russulales;Aphyllophoromycetes;mediocre;lisse;infere;ligneuse;3;resupine;strigueux, herisse;gris, beige, ocre;lisse, fimbrie;-;-;jaune, ocre, brun;blanc;0;0;nul;-;-;blanc, creme, ocre;inodore;absent;-;absent;-;feuillu, (conifere);1-12
Chondrostereum purpureum;Polyporales;Aphyllophoromycetes;mediocre;lisse;infere;ligneuse;4;resupine, croute;veloute, strigueux;gris, beige, violet;ondule;-;-;pourpre;blanc;0;0;nul;-;-;brun;inodore;absent;-;absent;-;feuillu;1-12
Thelephora terrestris;Polyporales;Aphyllophoromycetes;mediocre;lisse;infere;fibreuse;10;corolle, rosette;fibrilleux, mechuleux, strigueux;gris, brun, noir;fimbrie, frange;-;-;brun, pourpre;brun, pourpre;0;0;nul;-;-;brun;inodore;absent;-;absent;-;bois mort, conifere;1-12
Hydnellum ferrugineum;Polyporales;Aphyllophoromycetes;mediocre;aiguillons;non caducs;ligneuse;3-10;deprime;fibrilleux, ecailleux,rugueux;blanc, rouge;flexueux;-;moyens;blanc, [brun], [pourpre];brun;1-6;0,5-2;fusiforme;veloute, feutre;concolore;brun, rouge, pourpre;farine, inodore;absent;-;absent;-;conifere;8-10
Phellodon niger;Polyporales;Aphyllophoromycetes;mediocre;aiguillons;non caducs;molle, ligneuse;2-7;aplati, deprime;ride, tomenteux;bleu, violet, noir;lisse;-;petits;blanc, gris, bleu;blanc;1-5;0,5-2;cylindrace, bulbeux;veloute, feutre;brun, noir;concolore, noir;sucre, fenugrec;absent;-;absent;-;conifere, feuillu, foret;8-12
Sarcodon imbricatus;Polyporales;Aphyllophoromycetes;mediocre;aiguillons;non caducs;molle;5-20;deprime;ecailleux;brun, noir;flexueux;-;grands;brun;brun;5-10;1-5;cylindrace, clave;furfurace, lisse;brun;blanc, gris;inodore;absent;-;absent;-;foret, conifere;7-11
