N;code;Nom;Type;Hyménophore1;Hyménophore2;Chair;Chapeau.Diametre;Chapeau.Forme;Chapeau.Surface;Chapeau.Couleur;Lames.Attache;Lames.Couleur;Lames.Espace;Pied.Hauteur;Pied.Largeur;Pied.Racine;Pied.Surface;Pied.Couleur;Voile.Type;Voile.Couleur;Anneau.Presence;Anneau.Type;Spore.Couleur;Habitat
109;828;Amanita fulva;Comestible cuit;Lames;;fibreuse;7;ovoïde, étalé mammelonné;lisse, viscidule;roux, orange, fauve;libre;blanc;peu serrées;12;1;;?;blanc, roux;présent;;non;;blanc;forêt, feuillus
110;829;Amanita crocea;Comestible cuit;Lames;;fibreuse;15;ovoïde, [étalé mammelonné];lisse, viscidule;jaune, orange;libre;blanc, jaune;peu serrées;20;2,5;;tigré, chiné;blanc, jaune, orange;présent;;non;;blanc;forêt, feuillus
111;827;Amanita vaginata;Comestible cuit;Lames;;fibreuse;12;ovoïde, [campanulé mammelonné], [étalé];lisse, viscidule;gris;libre;blanc;peu serrées;20;1,2;;pruineux, chiné;blanc;présent;;non;;blanc;forêt
112;832;Amanita lividopallescens;Comestible cuit;Lames;;fibreuse;15;ovoïde convexe, étalé submammelonné;?;ocre, crème;libre;blanc;assez serrées;20;2,5;;pelucheux;blanc, gris, jaune;présent;;non;;blanc;feuillus, charmilles
228;1509;Lactarius piperatus;Inconnu;Lames;;cassante avec lait;12;?;ruguleux;blanc, [ocre];arquées décurrentes;crème;très serrées;12;4;;?;blanc, crème;absent;;non;;brun;feuillus
229;1513;Lactarius vellereus;Inconnu;Lames;;cassante avec lait;25;?;tomento-strigueux;blanc;fourchues subdécurrentes;blanc, crème;espacées;8;5;;?;blanc, crème;absent;;non;;brun;feuillus, (conifères)
230;1512;Lactarius controversus;Inconnu;Lames;;cassante avec lait;20;?;lisse;blanc;fourchues arquées subdécurrentes;crème, rose;serrées;7;4;;?;blanc, rose;absent;;non;;brun;feuillus
231;1522;Lactarius torminosus;Inconnu;Lames;;cassante avec lait;12;?;laineux;rouge, rose;subdécurrentes;blanc, rose;?;6;3;;?;blanc, [rose], [beige];absent;;non;;brun;bouleaux
232;1523;Lactarius pubescens;Inconnu;Lames;;cassante avec lait;10;?;laineux;blanc, ocre;subdécurrentes;blanc, rose;?;5;4;;?;blanc;absent;;non;;brun;bouleaux, friches, pelouses
233;1550;Lactarius deliciosus;Bon;Lames;;cassante avec lait;15;?;zoné;ocre, rouge;?;orange, vert;?;7;2,5;;?;subconcolore;absent;;non;;brun;pins
